Mesin_ID;Siklus_Waktu;Suhu_Total_Kompresi_HPC;Suhu_Total_Turbin_LPT;Rasio_Tekanan_Mesin;Tekanan_Statis_Ruang_Bakar;Rasio_Aliran_Bahan_Bakar;Kecepatan_Poros_Koreksi;Sisa_Umur_RUL
1;53;157982;140226;905115;4729;52196;813438;139
1;54;159259;14012;905629;4738;52244;812995;138
1;55;158495;140158;904894;474;52211;81341;137
1;56;158633;140076;904242;4726;52248;81354;136
1;57;158367;140279;90508;4729;52162;813548;135
1;58;159046;139799;905033;4726;52221;813208;134
1;59;159672;140351;905006;4726;52132;812881;133
1;60;158275;140307;905169;4741;52249;813289;132
1;61;158355;140552;905058;4731;52234;813166;131
1;62;158159;139954;905362;4728;52219;813228;130
1;63;159214;139538;904996;4751;52156;813073;129
1;64;158451;140011;904367;4745;52182;812815;128
1;65;158472;140324;904401;4756;52154;813294;127
1;66;15885;139952;905945;4714;52176;812832;126
1;67;159022;140302;905024;4739;52264;813407;125
1;68;158206;140442;905178;4736;52172;813239;124
1;69;15907;140124;905059;4741;52222;812913;123
1;70;158402;140278;905343;4741;52193;813036;122
1;71;158041;140309;904609;473;52172;813428;121
1;72;157925;140681;905442;4727;52197;813395;120
1;73;159204;139793;904964;4729;52204;812985;119
1;74;158465;140148;904585;4758;52225;813267;118
1;75;158232;139482;904232;4722;52177;813013;117
1;76;158921;139894;905655;4744;52158;813644;116
1;77;15863;140097;904644;4741;5216;813525;115
1;78;158076;14041;904237;474;52228;813391;114
1;79;158246;140393;904786;4735;52185;81354;113
1;80;159196;139358;904367;4764;52152;813466;112
1;81;158482;140204;904531;4743;52166;812887;111
1;82;158907;139917;904822;4725;52195;813404;110
1;83;158805;140638;904908;4722;52193;813132;109
1;84;158552;14066;905047;4738;52154;813154;108
1;85;159012;140596;905608;4736;5223;813531;107
1;86;15888;140356;904726;4738;52182;813006;106
1;87;158669;14131;905052;4734;52143;813041;105
1;88;158129;140609;904673;4746;5222;813147;104
1;89;158473;140222;905524;4746;52155;813515;103
1;90;158438;141293;905127;4732;52149;812972;102
1;91;158484;140476;905072;4732;52155;81344;101
1;92;159003;140077;904836;4745;52191;813139;100
1;93;159374;140848;904787;4746;52143;813315;99
1;94;158327;140494;904583;4748;52161;81324;98
1;95;15776;14101;904885;4738;52192;813163;97
1;96;158407;139516;904871;4739;52166;813069;96
1;97;159577;140781;90461;4746;52167;812874;95
1;98;159111;140456;904549;4737;52231;812789;94
1;99;159273;140613;904514;474;52142;813177;93
1;100;158963;141135;904572;4764;52155;813249;92
1;101;158418;140341;90523;4762;52189;812597;91
1;102;158911;140342;905136;4749;52138;81304;90
1;103;158127;140321;905328;4757;52141;81244;89
1;104;159063;140625;904473;4734;52238;813189;88
1;105;158828;140322;904836;4731;52181;813401;87
1;106;158905;140445;904982;4744;52151;812638;86
1;107;159513;140773;904868;4735;52175;81324;85
1;108;158591;139947;904703;4761;52152;813152;84
1;109;158645;14091;905113;4758;52162;813097;83
1;110;159001;140127;90514;4755;52201;812716;82
1;111;158438;140811;905164;4762;52153;81324;81
1;112;158646;140184;905128;4722;5219;813152;80
1;113;159085;140659;905315;4746;52175;812932;79
1;114;158842;140297;904658;4758;52168;813236;78
1;115;159484;14066;905037;4743;52136;81276;77
1;116;158031;140199;904971;4743;5216;813446;76
1;117;158977;140935;904961;4752;52122;812612;75
1;118;158567;140934;905112;4755;52131;813521;74
1;119;15968;140446;904589;4755;52146;812385;73
1;120;159378;140768;904872;476;52134;812557;72
1;121;159356;14119;904097;4744;5213;813394;71
1;122;159368;141397;904239;476;52092;813181;70
1;123;158666;140304;904944;4741;5216;812972;69
1;124;158714;140228;905303;4755;5214;813382;68
1;125;158547;140642;904616;4763;52157;812633;67
1;126;158264;14185;904911;4749;52135;813094;66
1;127;15869;139949;90479;4763;52134;81330;65
1;128;159387;140706;905659;4762;52196;813208;64
1;129;159133;140842;904608;4761;52202;812733;63
1;130;15859;141225;904297;4746;52149;812529;62
1;131;158578;141325;90451;477;52145;812638;61
1;132;159606;140576;904404;4756;52164;812892;60
1;133;159264;141011;905095;4757;52123;813093;59
1;134;158362;140267;904616;4775;52152;81313;58
1;135;158555;140683;905065;4734;52099;812934;57
1;136;158472;140439;904089;4743;52154;813043;56
1;137;159469;140515;904055;4789;52163;812881;55
1;138;158982;141334;904964;474;52157;812967;54
1;139;159228;14126;904481;4767;52103;812497;53
1;140;159089;140836;905585;4751;52127;813027;52
1;141;159002;141525;905086;4749;52106;812093;51
1;142;159529;141342;904661;4759;52044;812487;50
1;143;15931;140421;905063;4752;52098;812681;49
1;144;159189;140576;904933;4757;52111;812547;48
1;145;159492;140963;904692;4754;52113;813091;47
1;146;158675;140882;904599;4763;52113;812919;46
1;147;159485;140996;904124;478;52092;812613;45
1;148;159003;141189;904093;4749;52108;812448;44
1;149;159278;14107;905724;4783;52113;812434;43
1;150;158901;140922;904476;476;5205;812299;42
1;151;159239;141194;904812;4758;52094;812721;41
1;152;15986;142083;90439;4772;52039;81190;40
1;153;158917;141456;904943;4774;52069;812414;39
1;154;159703;141607;904908;4773;52072;812924;38
1;155;15904;141489;904956;4761;52123;812041;37
1;156;158561;142123;904421;4758;52075;812848;36
1;157;159804;141247;905312;4772;52094;812507;35
1;158;159682;141009;904922;4768;52088;812633;34
1;159;158954;142037;904806;4776;52065;812761;33
1;160;159065;141808;904542;4784;52047;812268;32
1;161;15942;141731;904806;4777;52047;812697;31
1;162;159222;142348;904445;4779;52044;812377;30
1;163;160054;142109;904924;4789;5203;812406;29
1;164;159896;141676;904892;477;52063;812463;28
1;165;159703;140809;903909;4789;52069;812653;27
1;166;159672;142237;904311;4786;52002;811914;26
1;167;159383;141472;904205;4785;52049;812241;25
1;168;159119;14157;903635;4784;52078;812444;24
1;169;159016;141805;905518;4788;52044;81253;23
1;170;159271;141741;904403;4786;52023;812176;22
1;171;159206;141499;904212;4803;51985;812487;21
1;172;159171;141373;90391;4807;52054;812008;20
1;173;159069;142527;904882;479;52011;812164;19
1;174;159981;142258;904125;480;52022;811917;18
1;175;160329;142252;904266;4786;52038;812576;17
1;176;159227;142273;904574;4784;5198;81238;16
1;177;160202;142399;90462;4803;52024;812011;15
1;178;160533;142465;904617;480;5202;811656;14
1;179;159256;142945;904423;4802;52038;811684;13
1;180;159987;141714;903933;4785;51984;812257;12
1;181;159671;142064;903829;481;52043;811479;11
1;182;160208;142662;904123;4798;52046;811967;10
1;183;159723;141903;904094;4803;52005;81178;9
1;184;160544;143252;904791;4807;51977;811561;8
1;185;160346;14244;904371;4815;51982;811369;7
1;186;159516;14263;905137;4812;52008;812345;6
1;187;15921;142727;903771;4823;51953;811567;5
1;188;160238;142278;903791;480;51979;811769;4
1;189;159617;142801;904455;4808;51958;811751;3
1;190;159922;142595;904058;4833;52004;811258;2
1;191;160236;142577;904276;4815;51957;811461;1
1;192;160141;14272;903322;4825;52008;811093;0
2;1;158384;139128;905472;4693;52233;813772;286
2;2;158705;139313;905131;4724;5227;813109;285
2;3;158832;139896;905424;4722;52258;814058;284
2;4;158415;139608;905801;471;52249;814044;283
2;5;157903;140252;905815;4725;52227;813667;282
2;6;15775;139676;905407;4705;5228;813365;281
2;7;158749;140065;905267;471;52214;813633;280
2;8;159041;139539;905582;472;52277;813792;279
2;9;158199;139501;905167;4714;5224;814529;278
2;10;158637;139486;905888;4721;52199;813864;277
2;11;158921;140129;905321;4721;5222;813585;276
2;12;157999;14019;904789;4713;52194;813649;275
2;13;158677;140153;905363;4703;52233;814061;274
2;14;158404;139546;90473;4712;52307;814009;273
2;15;157984;140211;904982;4717;52196;813772;272
2;16;158199;139346;905179;4724;52249;813345;271
2;17;158358;139027;905205;4713;52271;813478;270
2;18;158843;140025;905135;4722;52292;81332;269
2;19;157684;140177;905507;4714;52238;813751;268
2;20;158294;139438;905027;4714;52254;813983;267
2;21;157951;139228;905529;4704;52258;813657;266
2;22;158018;139767;905331;4717;52173;814079;265
2;23;158089;13875;905143;4721;52226;813157;264
2;24;158097;139867;905235;4715;52225;813616;263
2;25;158538;139662;905528;4719;52231;813697;262
2;26;157538;13923;905081;4712;5228;813727;261
2;27;158544;140231;905801;4703;52211;813773;260
2;28;15816;139745;905378;4699;52268;813655;259
2;29;158378;139808;905584;4711;52226;814077;258
2;30;159032;139507;90508;472;52243;813663;257
2;31;157986;139094;904993;4705;52217;813162;256
2;32;158452;139111;904587;4712;52254;813876;255
2;33;158517;139615;905118;4709;52226;813362;254
2;34;158408;139424;905929;4722;52264;81398;253
2;35;157573;139255;905734;4725;5220;814208;252
2;36;158156;139713;905579;4721;52232;814206;251
2;37;158563;139629;905816;4716;52269;813608;250
2;38;158515;139775;905535;4722;52213;813491;249
2;39;158569;139149;906116;472;52279;813878;248
2;40;158269;139838;904696;4722;5223;813716;247
2;41;157897;139874;90536;4726;52222;814084;246
2;42;157921;139213;904636;4714;52287;81353;245
2;43;158059;13916;905365;4708;5229;813514;244
2;44;158433;139869;905705;4722;52277;813723;243
2;45;158641;13976;906038;4717;52227;814193;242
2;46;157545;13926;905333;4719;52208;814052;241
2;47;158385;139646;904652;4703;52273;813697;240
2;48;158671;139795;905773;4718;52241;813497;239
2;49;158386;13965;904911;4718;52283;813593;238
2;50;157786;139978;905165;4716;52216;813846;237
2;51;158534;139306;905592;4703;52234;813789;236
2;52;158848;140166;905625;4709;52258;813422;235
2;53;15849;139709;905178;4698;52273;813795;234
2;54;158346;140533;904685;471;52248;814165;233
2;55;158559;138716;904462;4718;5227;813465;232
2;56;158704;138897;905227;4703;5221;813972;231
2;57;158413;138962;905286;4717;52198;813688;230
2;58;158293;138991;904775;473;52224;813492;229
2;59;158424;139795;90532;4717;52278;81369;228
2;60;158457;139684;905757;4712;52193;814127;227
2;61;158545;139971;905702;4709;52269;813588;226
2;62;157787;140166;90488;4727;52178;813586;225
2;63;157583;139505;906157;4717;52215;813472;224
2;64;158165;140146;904835;4711;52218;813688;223
2;65;158259;13954;905707;4734;52252;813572;222
2;66;15846;139401;905462;4717;52265;813889;221
2;67;158763;139544;904897;4696;52258;813881;220
2;68;157716;139927;905461;4716;5222;813775;219
2;69;158647;139973;904925;4733;52221;813647;218
2;70;159324;13973;904978;4726;52217;813406;217
2;71;158668;140309;905344;4724;52202;813112;216
2;72;158311;139385;905761;4719;5224;813669;215
2;73;158657;140098;905735;4715;52295;814206;214
2;74;158404;139613;906056;4725;52197;81388;213
2;75;157827;139064;905352;4709;52254;813337;212
2;76;158691;139966;905213;4699;52208;813629;211
2;77;158854;139538;905212;4695;52236;813864;210
2;78;15872;139424;905882;4712;52257;813585;209
2;79;158559;139851;905744;4723;52226;813502;208
2;80;158833;13940;905641;472;52326;813812;207
2;81;157831;139012;90530;4725;52262;813581;206
2;82;158724;140278;905528;4719;5223;813513;205
2;83;158518;139881;904788;4713;52313;813508;204
2;84;158646;140226;905039;4729;52275;813811;203
2;85;158831;139833;904941;4719;52263;813766;202
2;86;157931;139912;905083;4727;52226;813802;201
2;87;158264;139951;905636;4726;52259;814014;200
2;88;158788;139817;905667;4704;52262;813982;199
2;89;158462;139407;90547;4718;52242;813549;198
2;90;158077;140534;905358;4721;52204;813851;197
2;91;158357;139947;904594;4715;52248;813467;196
2;92;158487;139917;905092;4713;52245;813735;195
2;93;159168;139248;904914;4724;52252;813798;194
2;94;158562;139539;905499;4738;52274;814101;193
2;95;157926;140279;904827;4706;52237;813172;192
2;96;157694;139959;90590;4707;52166;813778;191
2;97;158612;14005;905626;4719;52222;813599;190
2;98;158784;140108;905694;4721;52292;814008;189
2;99;158548;140097;905446;4713;5225;813818;188
2;100;158601;140272;905618;4721;52201;81355;187
2;101;158266;139781;905147;4737;5224;814013;186
2;102;159024;140705;905238;4719;52205;813645;185
2;103;158775;139216;90508;4723;52236;814459;184
2;104;158204;139731;905521;4726;52218;814203;183
2;105;158565;139745;905839;4732;52211;814065;182
2;106;158461;140262;906194;4732;52211;81336;181
2;107;15817;140293;905897;4716;52234;813662;180
2;108;157845;139625;905631;4723;52227;813672;179
2;109;159041;13929;905321;4728;5220;814536;178
2;110;15833;139847;905381;4731;52227;814004;177
2;111;157685;139376;906268;4718;52232;813795;176
2;112;158835;13972;906333;4737;52223;813879;175
2;113;158421;140474;90491;4723;5221;814112;174
2;114;157656;139705;905566;4719;52213;813867;173
2;115;158327;140133;905506;4714;5221;813848;172
2;116;157787;139839;905387;4701;52248;814528;171
2;117;158384;13954;905645;4723;52239;813995;170
2;118;158049;140099;905561;4711;52223;814101;169
2;119;158506;140187;905452;4724;52221;814197;168
2;120;158961;139439;905654;4722;52162;813611;167
2;121;158019;139152;905367;4728;52231;814079;166
2;122;158552;140527;905103;4723;52196;813604;165
2;123;158859;140323;90563;4721;52214;813483;164
2;124;158312;139926;905357;4706;52264;813596;163
2;125;158632;139794;906056;4731;52223;814291;162
2;126;158745;140341;905708;4728;52195;813669;161
2;127;158665;140081;905625;4721;5222;813449;160
2;128;15922;139734;905443;472;52236;814232;159
2;129;159059;140025;905279;4723;52219;813965;158
2;130;158483;140998;906071;4726;5224;81378;157
2;131;158761;139426;905573;4736;52237;81415;156
2;132;158666;139878;905984;4712;52225;814033;155
2;133;158122;139387;906079;4718;52171;814053;154
2;134;158644;14062;90612;4717;52195;814284;153
2;135;158012;140456;905153;4734;52213;812968;152
2;136;158291;140267;905659;4709;52186;814213;151
2;137;158536;140679;905759;4739;52221;813555;150
2;138;158519;139895;906357;4716;52173;81375;149
2;139;159088;140087;905755;473;52261;81399;148
2;140;15937;140314;905191;4732;52249;813978;147
2;141;158509;140325;905775;4743;5225;813735;146
2;142;158641;140127;906033;473;52218;813404;145
2;143;158888;140049;905774;473;52173;813817;144
2;144;158435;140121;906012;4732;52211;814103;143
2;145;158272;140353;90591;4733;52193;814637;142
2;146;159006;140509;90510;473;5220;814025;141
2;147;158878;139458;905527;4748;52191;813458;140
2;148;15845;13983;905559;4731;52257;814037;139
2;149;158788;140441;905781;4731;52187;813862;138
2;150;158543;139374;905695;4715;52222;813855;137
2;151;159021;139831;905531;4733;52228;81433;136
2;152;158349;14009;90526;4725;52206;813696;135
2;153;159433;139752;905868;4729;52182;813454;134
2;154;15913;141328;905503;4723;52221;813722;133
2;155;158093;139745;905482;4723;52191;814625;132
2;156;157873;139913;905722;4731;52214;813957;131
2;157;15887;140063;906516;4745;52225;814304;130
2;158;158695;140468;905768;4745;52232;814057;129
2;159;159389;139971;90588;4726;5222;813861;128
2;160;158565;140972;90597;4746;52196;814403;127
2;161;158665;139632;905722;4719;52196;814021;126
2;162;158883;140123;906265;4742;52209;813478;125
2;163;158956;13962;905947;4729;52155;814254;124
2;164;158823;14055;905565;4732;52174;81386;123
2;165;158855;140296;906097;4739;52228;813448;122
2;166;158909;139426;906046;4743;52196;814211;121
2;167;158874;139535;905624;4739;52211;814857;120
2;168;159395;140401;905588;473;52189;813551;119
2;169;158185;140606;905937;4733;52177;814196;118
2;170;157726;140593;906567;4735;52236;814059;117
2;171;158794;141034;906051;4734;52189;814329;116
2;172;158942;139826;90557;4725;52142;813403;115
2;173;15890;140322;905855;4727;5214;814073;114
2;174;158801;140324;90664;4731;52185;814479;113
2;175;158458;139837;906791;4745;5222;814085;112
2;176;158573;140547;905859;4722;52154;814704;111
2;177;158688;140031;905799;4742;52195;81390;110
2;178;159029;140439;905685;4756;52197;814693;109
2;179;158455;13993;906098;4737;52248;814062;108
2;180;159351;140227;90583;4752;52176;813998;107
2;181;158587;139924;905786;4727;52219;813452;106
2;182;158642;140661;90694;4752;52239;814347;105
2;183;158495;140615;906412;4724;52184;814225;104
2;184;158566;140813;906728;4747;52186;814227;103
2;185;158109;140711;905927;4723;52222;814376;102
2;186;158246;140435;906338;4747;52182;814564;101
2;187;158888;140754;906097;4751;52109;81368;100
2;188;158297;140272;90627;4737;52234;813936;99
2;189;158354;140309;906979;4742;5217;814168;98
2;190;15925;140573;905923;472;52173;81394;97
2;191;158459;140764;906499;474;52192;814241;96
2;192;158995;140407;907188;4749;5217;814181;95
2;193;158828;139959;906355;473;52116;814436;94
2;194;159238;140464;906599;4769;52217;814238;93
2;195;159155;141018;906017;4732;52192;814743;92
2;196;159139;140859;90542;4743;52202;813928;91
2;197;158864;140329;906128;4736;52147;81488;90
2;198;159617;140291;905921;4714;5215;814621;89
2;199;158717;140939;906154;4749;52122;814469;88
2;200;158973;140628;906578;4744;52169;814469;87
2;201;159557;140092;906265;4744;52188;81445;86
2;202;158947;140872;907071;4745;52201;814895;85
2;203;159302;141033;907042;4758;52141;813727;84
2;204;159184;140401;906487;4743;52133;814546;83
2;205;158659;140911;906507;4742;52148;814424;82
2;206;158818;141114;905913;4724;52137;814504;81
2;207;159104;140294;906779;4739;52155;814673;80
2;208;159029;140793;906196;4751;52164;814099;79
2;209;159092;14092;906523;4743;52072;81471;78
2;210;158356;139699;906468;4751;52177;814112;77
2;211;158465;140923;906643;4748;52167;814314;76
2;212;158671;140643;90682;4751;52174;814807;75
2;213;159464;140738;906607;4756;52165;81440;74
2;214;158817;140221;906268;4749;52181;814816;73
2;215;159144;141163;907114;4757;52102;81419;72
2;216;158346;140868;906395;4753;52219;81447;71
2;217;158511;140797;90611;4751;52129;814852;70
2;218;159269;14127;907012;4756;5217;814685;69
2;219;159252;141291;907441;4771;52174;814772;68
2;220;160076;140668;906844;4754;52077;814815;67
2;221;158657;140821;907245;4747;52146;814566;66
2;222;159078;141166;906824;4752;52146;814487;65
2;223;159647;140628;906895;4762;52084;815225;64
2;224;159247;141463;907023;4774;52116;814863;63
2;225;159059;140987;90697;4767;52133;815097;62
2;226;160102;14089;906354;4746;52159;814341;61
2;227;158746;14104;907071;4766;52128;814882;60
2;228;159283;140688;906967;4746;52118;815287;59
2;229;159383;140769;907115;4765;52166;814484;58
2;230;159367;141271;907718;4769;52094;81489;57
2;231;159378;140468;907148;4764;52173;814402;56
2;232;159033;141166;907067;4756;5209;815193;55
2;233;159965;141334;907071;4766;52163;814692;54
2;234;158868;141207;907014;4758;52142;815084;53
2;235;159454;140642;907386;4785;52166;814947;52
2;236;159816;141066;90689;4763;52117;814785;51
2;237;159305;141976;906961;4765;5207;815281;50
2;238;159964;141373;907297;4752;52134;815262;49
2;239;159837;141749;907208;4783;52066;814353;48
2;240;159971;140654;907779;4766;52118;815244;47
2;241;159865;141833;907594;477;5211;815105;46
2;242;15937;140871;907867;4754;5216;815517;45
2;243;159398;141141;907811;4755;52105;815243;44
2;244;159599;141304;907286;4771;5206;815627;43
2;245;159093;141805;908105;4775;52103;815257;42
2;246;158974;14202;907507;4772;52127;814952;41
2;247;16012;141356;907498;477;52061;81495;40
2;248;159941;141722;908808;4775;52049;81565;39
2;249;159977;141919;907661;4766;5207;815391;38
2;250;159828;141535;90764;4779;52037;815325;37
2;251;159868;141861;907739;4792;52099;814906;36
2;252;159689;142269;907759;477;51998;815519;35
2;253;159643;141612;90841;4769;5207;815927;34
2;254;159388;142355;908475;4795;52083;815722;33
2;255;159825;141273;908241;4767;52085;815691;32
2;256;159883;142146;908363;4777;52067;815387;31
2;257;159317;142694;908682;4802;52095;815812;30
2;258;159977;142107;908216;4766;52079;815639;29
2;259;159765;141663;908869;4791;52052;815352;28
2;260;159351;141941;907861;4794;52054;815873;27
2;261;15940;141992;908697;4803;51998;815724;26
2;262;15883;14182;907959;4782;52068;81571;25
2;263;159232;142282;907999;4791;52104;815957;24
2;264;16101;142448;908682;4807;52047;815478;23
2;265;159348;142027;90857;4766;52027;81603;22
2;266;159154;142254;908355;4784;52052;815806;21
2;267;160223;142212;909167;478;5202;816144;20
2;268;160253;141961;908507;4796;52093;816133;19
2;269;159452;141923;90867;4809;51974;815905;18
2;270;160432;142427;908341;4804;52035;81581;17
2;271;160743;142506;908884;4814;51997;815897;16
2;272;160002;14267;908504;4796;52056;815561;15
2;273;159888;141855;909409;4788;51972;816369;14
2;274;159898;142783;90893;4807;51973;816162;13
2;275;15953;14218;909494;4802;5200;815759;12
2;276;160546;142966;908719;4798;52009;816322;11
2;277;160147;142478;909292;4803;51993;81719;10
2;278;159761;142367;909647;4799;51972;816069;9
2;279;15948;142695;90966;4813;51966;816477;8
2;280;159421;142289;910142;4812;51991;816377;7
2;281;159825;142436;908918;4817;51948;816757;6
2;282;159856;142687;90922;4827;52005;816843;5
2;283;160203;142967;908413;4821;52007;817485;4
2;284;160135;143004;908987;4818;51995;816683;3
2;285;159684;143117;909867;4827;51991;816483;2
2;286;160363;142957;910201;4814;51951;816997;1
2;287;16085;143084;910936;4812;51981;817557;0
3;1;15842;139813;905695;4714;52224;81384;178
3;2;158704;139862;905967;4735;52203;813738;177
3;3;158075;14011;905043;4694;52216;81372;176
3;4;158012;139576;906043;4744;52231;813935;175
3;5;158148;139405;905436;4716;5220;813599;174
3;6;158126;139798;904862;4712;52258;813799;173
3;7;158368;140576;905191;4726;52208;814185;172
3;8;15816;140186;905959;4713;52187;814147;171
3;9;158104;13983;906004;4716;52247;813684;170
3;10;15822;140007;905342;4722;5224;813042;169
3;11;159143;140059;905186;474;52202;813808;168
3;12;158392;140493;904923;4717;52207;814109;167
3;13;158325;140352;905709;4725;52226;813875;166
3;14;159103;139635;905659;4727;52169;814157;165
3;15;158529;139877;905829;4715;5220;813807;164
3;16;158905;139215;905112;4726;52225;813726;163
3;17;158894;139576;905179;4735;52237;814024;162
3;18;158436;14023;905582;4738;5218;814153;161
3;19;158067;140282;905122;4723;52218;814432;160
3;20;158073;139457;904708;471;52229;813513;159
3;21;158678;139883;905289;4727;52267;813816;158
3;22;158955;140528;906066;473;52253;814191;157
3;23;15852;139559;905817;4712;52222;813361;156
3;24;158508;139573;904782;4726;52166;814094;155
3;25;15794;139093;905508;4717;52215;813479;154
3;26;158692;140163;904781;4728;52193;814065;153
3;27;158183;140085;905862;4717;52169;813831;152
3;28;159059;140068;905491;4722;52227;813113;151
3;29;158471;139605;905629;4724;52215;813588;150
3;30;158495;13981;905175;4723;52235;814032;149
3;31;158868;139395;905638;4733;52192;814337;148
3;32;15837;140058;905273;473;52211;813567;147
3;33;158355;140393;905513;4731;5221;813474;146
3;34;158417;139747;90580;472;52234;814272;145
3;35;158457;139692;905814;4726;52219;813627;144
3;36;158096;139912;905915;4733;52277;814461;143
3;37;158296;139665;905579;4717;52214;814071;142
3;38;157799;140183;906207;4744;52181;813472;141
3;39;158042;14008;905699;471;5220;813981;140
3;40;157938;140324;905652;4709;52184;813157;139
3;41;158638;139492;906055;4732;52269;814358;138
3;42;158625;140449;905897;4731;52202;814013;137
3;43;15879;140151;906197;4735;5217;813847;136
3;44;158683;139548;906044;4717;52247;814465;135
3;45;158299;139833;905597;4706;52217;813889;134
3;46;159025;140155;906735;4738;52188;814107;133
3;47;158755;13953;905504;4729;5222;813929;132
3;48;158721;139294;905447;4732;52188;813895;131
3;49;158353;139611;905192;4733;52228;813836;130
3;50;158616;140264;905679;4727;52207;814055;129
3;51;159216;140105;90545;4714;52218;81351;128
3;52;158266;140499;906117;4736;52273;814251;127
3;53;158804;139978;906515;4721;52254;814143;126
3;54;158566;140704;905467;4745;52219;814347;125
3;55;15942;139908;905813;4722;52209;814134;124
3;56;158608;140397;905783;4714;52208;813663;123
3;57;158197;139855;905876;4728;52206;813758;122
3;58;158131;140399;905597;4735;52185;813067;121
3;59;158746;139756;905623;4722;52285;814201;120
3;60;158682;140566;905165;4747;52223;813668;119
3;61;15855;139235;906357;4726;5218;813834;118
3;62;15915;140357;905894;4728;52216;814324;117
3;63;158342;139898;90522;4727;52227;814909;116
3;64;159004;140468;906133;4724;52224;814314;115
3;65;158621;140069;905761;4729;52225;813964;114
3;66;157722;13979;90598;4731;52215;814108;113
3;67;158455;140387;90607;4729;52181;813927;112
3;68;158727;140037;905656;4731;52214;814167;111
3;69;158193;14042;906176;4724;52169;81392;110
3;70;158702;139709;906714;4744;52188;813791;109
3;71;157941;140119;906398;4743;5220;813903;108
3;72;159021;138986;905295;4748;52166;813814;107
3;73;158501;140006;906266;4723;52318;813997;106
3;74;158964;140576;906023;4714;52178;814213;105
3;75;159223;140698;905909;4725;52224;814498;104
3;76;158935;140534;906269;4735;52225;814033;103
3;77;158413;140599;906975;4716;52252;814362;102
3;78;157952;140053;906415;4738;52157;814042;101
3;79;15824;140349;906354;4728;52272;814412;100
3;80;158095;140537;906223;4734;52197;814872;99
3;81;158173;140265;90560;4746;52134;814495;98
3;82;158369;14004;907116;4722;52216;814816;97
3;83;15913;139873;906292;4751;52202;81438;96
3;84;159332;140062;906278;4751;52219;814169;95
3;85;158714;141411;906715;4725;52184;814464;94
3;86;158609;140101;906761;4737;52219;814565;93
3;87;158825;140217;906348;4732;5221;814539;92
3;88;15859;140009;906717;4733;5219;814669;91
3;89;158229;140414;906664;4739;52193;814655;90
3;90;159784;140626;906861;474;52192;814694;89
3;91;158281;13995;905801;4738;52183;813912;88
3;92;159007;140027;906658;4739;52196;815249;87
3;93;159366;140921;907002;4743;5216;814623;86
3;94;15889;140108;906901;4748;52194;814733;85
